"path","line","component","layer","visibility","same_name_count","initial_status"
"src/app/parking/not-found.tsx","1","ParkingNotFound","route-entry","exported","1","route"
"src/app/parking/payment-error/page.tsx","18","ParkingPaymentErrorPage","route-entry","exported","1","route"
"src/app/privacy/page.tsx","8","PrivacyPolicy","route-entry","exported","1","route"
"src/app/recruitment/book/[token]/page.tsx","10","RecruitmentBookingPage","route-entry","exported","1","route"
"src/app/recruitment/book/[token]/RecruitmentBookingClient.tsx","43","RecruitmentBookingClient","route-local","exported","1","local"
"src/app/unauthorized/page.tsx","8","UnauthorizedContent","route-entry","internal","1","route"
"src/app/unauthorized/page.tsx","54","UnauthorizedPage","route-entry","exported","1","route"
"src/components/charts/BarChart.tsx","23","BarChart","shared-component","exported","1","review"
"src/components/features/catering/CateringManager.tsx","32","CateringManager","shared-component","exported","1","review"
"src/components/features/catering/CateringPackageModal.tsx","22","CateringPackageModal","shared-component","exported","1","review"
"src/components/features/customers/CustomerForm.tsx","15","CustomerForm","shared-component","exported","1","review"
"src/components/features/customers/CustomerImport.tsx","25","CustomerImport","shared-component","exported","1","review"
"src/components/features/customers/CustomerLabelDisplay.tsx","8","CustomerLabelDisplay","shared-component","exported","1","review"
"src/components/features/customers/CustomerLabelSelector.tsx","24","CustomerLabelSelector","shared-component","exported","1","review"
"src/components/features/customers/CustomerName.tsx","10","CustomerName","shared-component","exported","1","review"
"src/components/features/customers/CustomerSearchInput.tsx","24","CustomerSearchInput","shared-component","exported","1","review"
"src/components/features/customers/WinBackCampaign.tsx","32","WinBackCampaign","shared-component","exported","1","review"
"src/components/features/employees/AddEmployeeAttachmentForm.tsx","28","SubmitAttachmentButton","shared-component","internal","1","review"
"src/components/features/employees/AddEmployeeAttachmentForm.tsx","36","AddEmployeeAttachmentForm","shared-component","exported","1","review"
"src/components/features/employees/AddEmployeeNoteForm.tsx","16","SubmitNoteButton","shared-component","internal","1","review"
"src/components/features/employees/AddEmployeeNoteForm.tsx","25","AddEmployeeNoteForm","shared-component","exported","1","review"
"src/components/features/employees/DeleteEmployeeButton.tsx","15","SubmitDeleteButton","shared-component","internal","1","review"
"src/components/features/employees/DeleteEmployeeButton.tsx","28","DeleteEmployeeButton","shared-component","exported","1","review"
"src/components/features/employees/EmergencyContactsTab.tsx","19","ConfirmDeleteButton","shared-component","internal","1","review"
"src/components/features/employees/EmergencyContactsTab.tsx","32","DeleteContactButton","shared-component","internal","1","review"
"src/components/features/employees/EmergencyContactsTab.tsx","105","EmergencyContactsTab","shared-component","exported","1","review"
"src/components/features/employees/EmployeeAttachmentsList.tsx","20","DeleteAttachmentButton","shared-component","internal","1","review"
"src/components/features/employees/EmployeeAttachmentsList.tsx","122","EmployeeAttachmentsList","shared-component","exported","1","review"
"src/components/features/employees/EmployeeAuditTrail.tsx","17","EmployeeAuditTrail","shared-component","exported","1","review"
"src/components/features/employees/EmployeeForm.tsx","38","SubmitButton","shared-component","internal","8","review"
"src/components/features/employees/EmployeeForm.tsx","52","EmployeeForm","shared-component","exported","1","review"
"src/components/features/employees/EmployeeHolidaysTab.tsx","47","EmployeeHolidaysTab","shared-component","exported","1","review"
"src/components/features/employees/EmployeeNotesList.tsx","9","EmployeeNotesList","shared-component","exported","1","review"
"src/components/features/employees/EmployeePayTab.tsx","42","EmployeePayTab","shared-component","exported","1","review"
"src/components/features/employees/EmployeeRecentChanges.tsx","20","EmployeeRecentChanges","shared-component","exported","1","review"
"src/components/features/employees/EmployeeReliabilityTab.tsx","47","ScorePanel","shared-component","internal","1","review"
"src/components/features/employees/EmployeeReliabilityTab.tsx","67","Metric","shared-component","internal","2","review"
"src/components/features/employees/EmployeeReliabilityTab.tsx","76","CountsGrid","shared-component","internal","1","review"
"src/components/features/employees/EmployeeReliabilityTab.tsx","121","EmployeeReliabilityTab","shared-component","exported","1","review"
"src/components/features/employees/EmployeeStatusActions.tsx","20","EmployeeStatusActions","shared-component","exported","1","review"
"src/components/features/employees/FinancialDetailsForm.tsx","21","SubmitButton","shared-component","internal","8","review"
"src/components/features/employees/FinancialDetailsForm.tsx","34","FinancialDetailsForm","shared-component","exported","1","review"
"src/components/features/employees/FinancialDetailsTab.tsx","12","DetailItem","shared-component","internal","3","review"
"src/components/features/employees/FinancialDetailsTab.tsx","19","FinancialDetailsTab","shared-component","exported","1","review"
"src/components/features/employees/HealthRecordsForm.tsx","19","SubmitButton","shared-component","internal","8","review"
"src/components/features/employees/HealthRecordsForm.tsx","32","HealthRecordsForm","shared-component","exported","1","review"
"src/components/features/employees/HealthRecordsTab.tsx","13","DetailItem","shared-component","internal","3","review"
"src/components/features/employees/HealthRecordsTab.tsx","22","HealthRecordsTab","shared-component","exported","1","review"
"src/components/features/employees/InviteEmployeeModal.tsx","12","InviteEmployeeModal","shared-component","exported","1","review"
"src/components/features/employees/OnboardingChecklistTab.tsx","20","OnboardingChecklistTab","shared-component","exported","1","review"
"src/components/features/employees/RightToWorkTab.tsx","32","SubmitButton","shared-component","internal","8","review"
"src/components/features/employees/RightToWorkTab.tsx","44","RightToWorkTab","shared-component","exported","1","review"
"src/components/features/employees/SendBirthdayRemindersButton.tsx","8","SendBirthdayRemindersButton","shared-component","exported","1","review"
"src/components/features/events/EventCategoryFormGrouped.tsx","49","CollapsibleSection","shared-component","internal","1","review"
"src/components/features/events/EventCategoryFormGrouped.tsx","81","EventCategoryFormGrouped","shared-component","exported","1","review"
